"(5,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(39,)","(39,)","(0,)","(0,)","(37.595751680060154,)"
"(28,)","(93,)","(20,)","(21,)","(19,)","(250,)","(250,)","(39,)","(39,)","(0,)","(0,)","(37.595751680060154,)"
"(33,)","(93,)","(0,)","(250,)","(250,)","(250,)","(250,)","(0,)","(0,)","(0,)","(0,)","(37.595751680060154,)"
"(38,)","(93,)","(0,)","(250,)","(250,)","(250,)","(250,)","(10,)","(10,)","(0,)","(0,)","(37.595751680060154,)"
"(38,)","(71,)","(0,)","(250,)","(250,)","(250,)","(250,)","(0,)","(0,)","(0,)","(9,)","(37.595751680060154,)"
"(48,)","(93,)","(4,)","(250,)","(250,)","(250,)","(250,)","(0,)","(0,)","(0,)","(0,)","(37.595751680060154,)"
"(53,)","(93,)","(0,)","(250,)","(250,)","(250,)","(250,)","(0,)","(0,)","(0,)","(0,)","(37.595751680060154,)"
"(58,)","(93,)","(0,)","(250,)","(250,)","(250,)","(250,)","(0,)","(0,)","(3,)","(0,)","(37.595751680060154,)"
"(61,)","(82,)","(-2,)","(250,)","(250,)","(250,)","(250,)","(4,)","(3,)","(3,)","(4,)","(37.595751680060154,)"
"(66,)","(82,)","(0,)","(250,)","(250,)","(250,)","(250,)","(0,)","(0,)","(0,)","(4,)","(37.595751680060154,)"
"(67,)","(69,)","(-5,)","(250,)","(250,)","(250,)","(250,)","(8,)","(9,)","(7,)","(9,)","(37.595751680060154,)"
"(69,)","(51,)","(-3,)","(250,)","(250,)","(250,)","(250,)","(16,)","(16,)","(15,)","(17,)","(37.595751680060154,)"
"(70,)","(34,)","(-3,)","(250,)","(250,)","(250,)","(250,)","(24,)","(23,)","(21,)","(23,)","(37.595751680060154,)"
"(68,)","(4,)","(-2,)","(80,)","(79,)","(64,)","(68,)","(33,)","(31,)","(32,)","(33,)","(37.595751680060154,)"
"(65,)","(0,)","(0,)","(78,)","(75,)","(61,)","(66,)","(37,)","(40,)","(39,)","(38,)","(37.595751680060154,)"
"(61,)","(1,)","(0,)","(72,)","(72,)","(59,)","(61,)","(45,)","(44,)","(41,)","(44,)","(37.595751680060154,)"
"(58,)","(2,)","(-1,)","(0,)","(69,)","(56,)","(58,)","(49,)","(45,)","(45,)","(47,)","(37.595751680060154,)"
"(56,)","(2,)","(0,)","(68,)","(69,)","(0,)","(57,)","(47,)","(44,)","(49,)","(47,)","(37.595751680060154,)"
"(57,)","(1,)","(0,)","(0,)","(66,)","(55,)","(57,)","(49,)","(47,)","(43,)","(45,)","(37.595751680060154,)"
"(56,)","(1,)","(0,)","(66,)","(66,)","(53,)","(56,)","(47,)","(45,)","(44,)","(45,)","(37.595751680060154,)"
"(54,)","(1,)","(-1,)","(67,)","(67,)","(52,)","(55,)","(43,)","(43,)","(44,)","(45,)","(37.595751680060154,)"
"(57,)","(0,)","(1,)","(68,)","(66,)","(53,)","(57,)","(40,)","(43,)","(41,)","(40,)","(37.595751680060154,)"
"(56,)","(0,)","(0,)","(67,)","(65,)","(54,)","(57,)","(41,)","(43,)","(40,)","(40,)","(37.595751680060154,)"
"(58,)","(0,)","(0,)","(68,)","(67,)","(56,)","(58,)","(39,)","(39,)","(37,)","(38,)","(37.595751680060154,)"
"(59,)","(0,)","(0,)","(70,)","(69,)","(57,)","(59,)","(36,)","(36,)","(36,)","(37,)","(37.595751680060154,)"
"(59,)","(0,)","(-1,)","(70,)","(70,)","(57,)","(60,)","(37,)","(35,)","(36,)","(37,)","(37.595751680060154,)"
"(63,)","(4,)","(0,)","(74,)","(72,)","(60,)","(64,)","(32,)","(35,)","(34,)","(33,)","(37.595751680060154,)"
"(67,)","(10,)","(1,)","(74,)","(74,)","(64,)","(68,)","(35,)","(33,)","(32,)","(31,)","(37.595751680060154,)"
"(69,)","(6,)","(0,)","(78,)","(77,)","(67,)","(70,)","(33,)","(32,)","(31,)","(32,)","(37.595751680060154,)"
"(73,)","(13,)","(1,)","(79,)","(80,)","(69,)","(74,)","(34,)","(31,)","(31,)","(30,)","(37.595751680060154,)"
"(75,)","(6,)","(0,)","(81,)","(82,)","(71,)","(75,)","(34,)","(32,)","(33,)","(32,)","(37.595751680060154,)"
"(78,)","(8,)","(0,)","(85,)","(83,)","(76,)","(78,)","(31,)","(34,)","(30,)","(31,)","(37.595751680060154,)"
"(78,)","(2,)","(0,)","(84,)","(85,)","(75,)","(79,)","(36,)","(34,)","(35,)","(34,)","(37.595751680060154,)"
"(80,)","(2,)","(0,)","(86,)","(84,)","(77,)","(81,)","(34,)","(37,)","(35,)","(34,)","(37.595751680060154,)"
"(80,)","(0,)","(0,)","(84,)","(86,)","(78,)","(81,)","(38,)","(36,)","(35,)","(36,)","(37.595751680060154,)"
"(81,)","(0,)","(0,)","(85,)","(86,)","(78,)","(81,)","(37,)","(37,)","(37,)","(36,)","(37.595751680060154,)"
"(80,)","(0,)","(-1,)","(85,)","(83,)","(78,)","(81,)","(37,)","(40,)","(36,)","(38,)","(37.595751680060154,)"
"(81,)","(0,)","(0,)","(82,)","(84,)","(77,)","(81,)","(41,)","(39,)","(39,)","(37,)","(37.595751680060154,)"
"(81,)","(0,)","(1,)","(83,)","(83,)","(76,)","(81,)","(40,)","(40,)","(40,)","(37,)","(37.595751680060154,)"
"(79,)","(0,)","(0,)","(84,)","(83,)","(78,)","(80,)","(38,)","(40,)","(37,)","(39,)","(37.595751680060154,)"
"(77,)","(0,)","(-1,)","(81,)","(82,)","(75,)","(78,)","(41,)","(40,)","(40,)","(41,)","(37.595751680060154,)"
"(77,)","(0,)","(-1,)","(80,)","(82,)","(74,)","(78,)","(43,)","(40,)","(41,)","(41,)","(37.595751680060154,)"
"(77,)","(0,)","(0,)","(78,)","(80,)","(74,)","(78,)","(44,)","(41,)","(41,)","(40,)","(37.595751680060154,)"
"(77,)","(0,)","(1,)","(80,)","(78,)","(74,)","(77,)","(40,)","(44,)","(40,)","(40,)","(37.595751680060154,)"
"(75,)","(0,)","(-1,)","(78,)","(79,)","(72,)","(75,)","(43,)","(41,)","(43,)","(43,)","(37.595751680060154,)"
"(75,)","(0,)","(0,)","(79,)","(78,)","(73,)","(75,)","(40,)","(43,)","(40,)","(41,)","(37.595751680060154,)"
"(74,)","(0,)","(0,)","(76,)","(76,)","(71,)","(75,)","(44,)","(44,)","(43,)","(41,)","(37.595751680060154,)"
"(74,)","(0,)","(1,)","(75,)","(76,)","(71,)","(75,)","(43,)","(43,)","(41,)","(40,)","(37.595751680060154,)"
"(74,)","(0,)","(1,)","(75,)","(75,)","(71,)","(74,)","(43,)","(43,)","(40,)","(40,)","(37.595751680060154,)"
"(72,)","(0,)","(0,)","(76,)","(75,)","(69,)","(72,)","(40,)","(41,)","(41,)","(43,)","(37.595751680060154,)"
"(73,)","(0,)","(0,)","(73,)","(75,)","(69,)","(73,)","(44,)","(41,)","(41,)","(40,)","(37.595751680060154,)"
"(73,)","(0,)","(2,)","(74,)","(74,)","(69,)","(73,)","(41,)","(41,)","(40,)","(39,)","(37.595751680060154,)"
"(72,)","(0,)","(1,)","(74,)","(72,)","(68,)","(73,)","(39,)","(43,)","(40,)","(39,)","(37.595751680060154,)"
"(71,)","(0,)","(0,)","(72,)","(73,)","(68,)","(72,)","(43,)","(40,)","(40,)","(40,)","(37.595751680060154,)"
"(70,)","(0,)","(-1,)","(72,)","(74,)","(68,)","(71,)","(41,)","(39,)","(40,)","(41,)","(37.595751680060154,)"
"(71,)","(0,)","(0,)","(73,)","(72,)","(69,)","(72,)","(39,)","(41,)","(38,)","(39,)","(37.595751680060154,)"
"(69,)","(0,)","(-1,)","(72,)","(73,)","(66,)","(70,)","(40,)","(39,)","(41,)","(41,)","(37.595751680060154,)"
"(70,)","(0,)","(0,)","(71,)","(72,)","(66,)","(71,)","(41,)","(40,)","(41,)","(39,)","(37.595751680060154,)"
"(70,)","(0,)","(0,)","(70,)","(73,)","(67,)","(70,)","(41,)","(38,)","(38,)","(39,)","(84.59044128013535,)"
"(98,)","(110,)","(25,)","(250,)","(250,)","(250,)","(250,)","(37,)","(39,)","(43,)","(40,)","(84.59044128013535,)"
"(104,)","(116,)","(1,)","(250,)","(250,)","(250,)","(250,)","(43,)","(40,)","(40,)","(38,)","(84.59044128013535,)"
"(108,)","(110,)","(0,)","(250,)","(250,)","(250,)","(250,)","(44,)","(43,)","(39,)","(40,)","(84.59044128013535,)"
"(109,)","(96,)","(-2,)","(250,)","(250,)","(250,)","(250,)","(41,)","(45,)","(44,)","(45,)","(84.59044128013535,)"
"(113,)","(88,)","(-3,)","(250,)","(250,)","(250,)","(250,)","(45,)","(49,)","(49,)","(49,)","(84.59044128013535,)"
"(114,)","(72,)","(-4,)","(250,)","(250,)","(250,)","(250,)","(54,)","(55,)","(54,)","(55,)","(84.59044128013535,)"
"(118,)","(66,)","(-1,)","(250,)","(250,)","(250,)","(250,)","(60,)","(60,)","(60,)","(57,)","(84.59044128013535,)"
"(119,)","(48,)","(-2,)","(118,)","(120,)","(250,)","(250,)","(68,)","(66,)","(65,)","(65,)","(84.59044128013535,)"
"(121,)","(36,)","(-1,)","(119,)","(123,)","(118,)","(122,)","(76,)","(70,)","(70,)","(70,)","(84.59044128013535,)"
