"(6,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(39,)","(19,)","(0,)","(0,)","(37.595751680060154,)"
"(29,)","(93,)","(20,)","(21,)","(16,)","(250,)","(250,)","(39,)","(39,)","(0,)","(0,)","(37.595751680060154,)"
"(34,)","(92,)","(0,)","(250,)","(250,)","(250,)","(250,)","(0,)","(0,)","(0,)","(0,)","(37.595751680060154,)"
"(39,)","(93,)","(0,)","(250,)","(250,)","(250,)","(250,)","(0,)","(0,)","(0,)","(0,)","(37.595751680060154,)"
"(44,)","(93,)","(0,)","(250,)","(250,)","(250,)","(250,)","(6,)","(6,)","(0,)","(0,)","(37.595751680060154,)"
"(49,)","(93,)","(0,)","(250,)","(250,)","(250,)","(250,)","(24,)","(6,)","(0,)","(0,)","(37.595751680060154,)"
"(52,)","(82,)","(0,)","(250,)","(250,)","(250,)","(250,)","(0,)","(0,)","(0,)","(4,)","(37.595751680060154,)"
"(59,)","(93,)","(2,)","(250,)","(250,)","(250,)","(250,)","(0,)","(0,)","(0,)","(0,)","(37.595751680060154,)"
"(64,)","(93,)","(0,)","(250,)","(250,)","(250,)","(250,)","(0,)","(5,)","(0,)","(0,)","(37.595751680060154,)"
"(69,)","(93,)","(0,)","(250,)","(250,)","(250,)","(250,)","(0,)","(0,)","(2,)","(0,)","(37.595751680060154,)"
"(72,)","(82,)","(-2,)","(250,)","(250,)","(250,)","(250,)","(4,)","(7,)","(0,)","(4,)","(37.595751680060154,)"
"(71,)","(56,)","(-5,)","(250,)","(250,)","(250,)","(250,)","(12,)","(7,)","(9,)","(15,)","(37.595751680060154,)"
"(72,)","(40,)","(-3,)","(250,)","(250,)","(250,)","(250,)","(20,)","(22,)","(17,)","(21,)","(37.595751680060154,)"
"(74,)","(24,)","(-3,)","(84,)","(79,)","(76,)","(74,)","(27,)","(28,)","(28,)","(27,)","(37.595751680060154,)"
"(71,)","(0,)","(-3,)","(83,)","(77,)","(73,)","(71,)","(35,)","(36,)","(36,)","(37,)","(37.595751680060154,)"
"(70,)","(0,)","(-1,)","(81,)","(74,)","(70,)","(70,)","(38,)","(40,)","(41,)","(39,)","(37.595751680060154,)"
"(68,)","(0,)","(3,)","(77,)","(71,)","(67,)","(69,)","(43,)","(44,)","(44,)","(40,)","(37.595751680060154,)"
"(64,)","(1,)","(0,)","(0,)","(0,)","(66,)","(0,)","(45,)","(45,)","(44,)","(45,)","(37.595751680060154,)"
"(65,)","(0,)","(0,)","(75,)","(0,)","(0,)","(65,)","(43,)","(45,)","(45,)","(43,)","(37.595751680060154,)"
"(66,)","(0,)","(0,)","(77,)","(69,)","(67,)","(66,)","(39,)","(43,)","(40,)","(40,)","(37.595751680060154,)"
"(67,)","(0,)","(1,)","(75,)","(71,)","(68,)","(67,)","(41,)","(38,)","(37,)","(38,)","(37.595751680060154,)"
"(68,)","(0,)","(1,)","(80,)","(71,)","(67,)","(69,)","(34,)","(38,)","(39,)","(36,)","(37.595751680060154,)"
"(70,)","(1,)","(0,)","(79,)","(75,)","(72,)","(70,)","(36,)","(34,)","(33,)","(35,)","(37.595751680060154,)"
"(76,)","(13,)","(1,)","(84,)","(78,)","(75,)","(76,)","(31,)","(32,)","(31,)","(30,)","(37.595751680060154,)"
"(78,)","(10,)","(0,)","(90,)","(83,)","(81,)","(79,)","(28,)","(30,)","(28,)","(31,)","(37.595751680060154,)"
"(86,)","(25,)","(0,)","(96,)","(89,)","(85,)","(86,)","(26,)","(27,)","(28,)","(27,)","(37.595751680060154,)"
"(90,)","(24,)","(0,)","(98,)","(93,)","(91,)","(91,)","(29,)","(28,)","(26,)","(27,)","(37.595751680060154,)"
"(94,)","(18,)","(0,)","(105,)","(98,)","(95,)","(94,)","(26,)","(28,)","(28,)","(28,)","(37.595751680060154,)"
"(97,)","(10,)","(-1,)","(105,)","(98,)","(99,)","(97,)","(31,)","(32,)","(28,)","(31,)","(37.595751680060154,)"
"(98,)","(4,)","(-1,)","(105,)","(101,)","(98,)","(99,)","(36,)","(32,)","(34,)","(33,)","(37.595751680060154,)"
"(98,)","(1,)","(0,)","(105,)","(99,)","(96,)","(99,)","(36,)","(38,)","(38,)","(35,)","(37.595751680060154,)"
"(95,)","(0,)","(-1,)","(102,)","(98,)","(96,)","(95,)","(41,)","(40,)","(38,)","(40,)","(37.595751680060154,)"
"(93,)","(0,)","(-2,)","(100,)","(98,)","(93,)","(94,)","(43,)","(39,)","(43,)","(43,)","(37.595751680060154,)"
"(92,)","(0,)","(0,)","(101,)","(94,)","(0,)","(93,)","(40,)","(44,)","(45,)","(43,)","(37.595751680060154,)"
"(89,)","(1,)","(0,)","(0,)","(0,)","(92,)","(0,)","(45,)","(45,)","(41,)","(45,)","(37.595751680060154,)"
"(92,)","(0,)","(1,)","(97,)","(93,)","(91,)","(92,)","(43,)","(43,)","(41,)","(40,)","(37.595751680060154,)"
"(92,)","(0,)","(1,)","(99,)","(95,)","(90,)","(93,)","(38,)","(39,)","(41,)","(39,)","(37.595751680060154,)"
"(95,)","(0,)","(0,)","(99,)","(96,)","(94,)","(95,)","(39,)","(37,)","(36,)","(36,)","(37.595751680060154,)"
"(97,)","(4,)","(2,)","(103,)","(99,)","(96,)","(98,)","(35,)","(33,)","(34,)","(33,)","(37.595751680060154,)"
"(101,)","(10,)","(1,)","(108,)","(102,)","(100,)","(102,)","(30,)","(32,)","(31,)","(31,)","(37.595751680060154,)"
"(105,)","(13,)","(0,)","(111,)","(105,)","(104,)","(106,)","(31,)","(32,)","(30,)","(30,)","(37.595751680060154,)"
"(108,)","(13,)","(1,)","(114,)","(109,)","(107,)","(109,)","(30,)","(31,)","(31,)","(30,)","(37.595751680060154,)"
