"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(39,)","(19,)","(0,)","(0,)","(37.595751680060154,)"
"(2,)","(93,)","(0,)","(21,)","(21,)","(250,)","(250,)","(39,)","(39,)","(0,)","(0,)","(37.595751680060154,)"
"(7,)","(93,)","(0,)","(250,)","(250,)","(250,)","(250,)","(0,)","(0,)","(0,)","(0,)","(37.595751680060154,)"
"(12,)","(93,)","(0,)","(250,)","(250,)","(250,)","(250,)","(0,)","(0,)","(0,)","(0,)","(37.595751680060154,)"
"(17,)","(93,)","(0,)","(250,)","(250,)","(250,)","(250,)","(0,)","(0,)","(0,)","(0,)","(37.595751680060154,)"
"(19,)","(81,)","(-2,)","(250,)","(250,)","(250,)","(250,)","(5,)","(4,)","(5,)","(4,)","(37.595751680060154,)"
"(24,)","(81,)","(0,)","(250,)","(250,)","(250,)","(250,)","(0,)","(0,)","(0,)","(4,)","(37.595751680060154,)"
"(29,)","(93,)","(0,)","(250,)","(250,)","(250,)","(250,)","(0,)","(0,)","(0,)","(0,)","(37.595751680060154,)"
"(34,)","(93,)","(0,)","(250,)","(250,)","(250,)","(250,)","(0,)","(0,)","(0,)","(0,)","(37.595751680060154,)"
"(39,)","(93,)","(0,)","(250,)","(250,)","(250,)","(250,)","(4,)","(4,)","(0,)","(0,)","(37.595751680060154,)"
"(42,)","(83,)","(-2,)","(250,)","(250,)","(250,)","(250,)","(4,)","(0,)","(0,)","(4,)","(37.595751680060154,)"
"(47,)","(83,)","(0,)","(250,)","(250,)","(250,)","(250,)","(0,)","(7,)","(3,)","(4,)","(37.595751680060154,)"
"(48,)","(67,)","(0,)","(250,)","(250,)","(250,)","(250,)","(8,)","(7,)","(12,)","(10,)","(37.595751680060154,)"
"(50,)","(50,)","(-3,)","(250,)","(250,)","(250,)","(250,)","(16,)","(15,)","(19,)","(17,)","(37.595751680060154,)"
"(52,)","(36,)","(0,)","(250,)","(65,)","(250,)","(250,)","(23,)","(27,)","(24,)","(22,)","(37.595751680060154,)"
"(50,)","(6,)","(-1,)","(62,)","(67,)","(49,)","(50,)","(34,)","(31,)","(33,)","(32,)","(37.595751680060154,)"
"(46,)","(0,)","(-2,)","(63,)","(63,)","(46,)","(47,)","(35,)","(39,)","(39,)","(39,)","(37.595751680060154,)"
"(45,)","(0,)","(-1,)","(58,)","(63,)","(46,)","(46,)","(41,)","(39,)","(39,)","(40,)","(37.595751680060154,)"
"(44,)","(0,)","(0,)","(59,)","(60,)","(44,)","(45,)","(40,)","(44,)","(41,)","(41,)","(37.595751680060154,)"
"(44,)","(0,)","(-1,)","(57,)","(61,)","(45,)","(45,)","(43,)","(41,)","(40,)","(41,)","(37.595751680060154,)"
"(46,)","(0,)","(1,)","(56,)","(60,)","(45,)","(46,)","(43,)","(41,)","(38,)","(38,)","(37.595751680060154,)"
"(45,)","(0,)","(1,)","(57,)","(61,)","(45,)","(46,)","(40,)","(40,)","(39,)","(38,)","(37.595751680060154,)"
"(47,)","(0,)","(0,)","(60,)","(63,)","(46,)","(48,)","(35,)","(36,)","(38,)","(36,)","(37.595751680060154,)"
"(48,)","(1,)","(1,)","(58,)","(64,)","(47,)","(49,)","(39,)","(36,)","(36,)","(35,)","(37.595751680060154,)"
"(52,)","(6,)","(0,)","(62,)","(67,)","(50,)","(53,)","(33,)","(33,)","(34,)","(32,)","(37.595751680060154,)"
"(55,)","(6,)","(0,)","(64,)","(69,)","(55,)","(55,)","(34,)","(32,)","(31,)","(32,)","(37.595751680060154,)"
"(60,)","(13,)","(0,)","(68,)","(71,)","(57,)","(60,)","(31,)","(33,)","(31,)","(30,)","(37.595751680060154,)"
"(64,)","(15,)","(0,)","(70,)","(76,)","(63,)","(64,)","(32,)","(29,)","(27,)","(29,)","(37.595751680060154,)"
"(68,)","(15,)","(0,)","(75,)","(79,)","(66,)","(68,)","(30,)","(31,)","(30,)","(29,)","(37.595751680060154,)"
"(73,)","(24,)","(1,)","(78,)","(84,)","(72,)","(74,)","(31,)","(28,)","(27,)","(27,)","(37.595751680060154,)"
"(77,)","(15,)","(0,)","(84,)","(86,)","(75,)","(77,)","(29,)","(31,)","(29,)","(29,)","(37.595751680060154,)"
"(82,)","(21,)","(0,)","(86,)","(91,)","(80,)","(82,)","(31,)","(28,)","(28,)","(28,)","(37.595751680060154,)"
"(84,)","(10,)","(0,)","(90,)","(93,)","(82,)","(84,)","(31,)","(31,)","(31,)","(31,)","(37.595751680060154,)"
"(88,)","(13,)","(0,)","(91,)","(97,)","(85,)","(88,)","(33,)","(31,)","(31,)","(30,)","(37.595751680060154,)"
"(88,)","(4,)","(0,)","(94,)","(98,)","(86,)","(89,)","(33,)","(33,)","(34,)","(33,)","(37.595751680060154,)"
"(90,)","(2,)","(-1,)","(95,)","(99,)","(89,)","(91,)","(33,)","(34,)","(32,)","(34,)","(37.595751680060154,)"
"(90,)","(0,)","(-1,)","(93,)","(98,)","(87,)","(91,)","(38,)","(37,)","(37,)","(36,)","(37.595751680060154,)"
"(91,)","(0,)","(0,)","(93,)","(97,)","(88,)","(92,)","(38,)","(39,)","(37,)","(36,)","(37.595751680060154,)"
"(89,)","(0,)","(0,)","(94,)","(97,)","(87,)","(90,)","(37,)","(39,)","(38,)","(39,)","(37.595751680060154,)"
"(88,)","(0,)","(-1,)","(90,)","(96,)","(86,)","(89,)","(43,)","(40,)","(40,)","(40,)","(37.595751680060154,)"
"(89,)","(0,)","(1,)","(89,)","(94,)","(85,)","(89,)","(43,)","(43,)","(40,)","(39,)","(37.595751680060154,)"
"(86,)","(0,)","(0,)","(90,)","(92,)","(83,)","(87,)","(40,)","(44,)","(43,)","(42,)","(37.595751680060154,)"
"(87,)","(0,)","(3,)","(86,)","(92,)","(82,)","(88,)","(44,)","(43,)","(43,)","(39,)","(37.595751680060154,)"
"(84,)","(0,)","(1,)","(86,)","(91,)","(80,)","(85,)","(43,)","(43,)","(44,)","(43,)","(37.595751680060154,)"
"(85,)","(0,)","(1,)","(88,)","(90,)","(82,)","(86,)","(40,)","(44,)","(41,)","(40,)","(37.595751680060154,)"
"(83,)","(0,)","(0,)","(84,)","(90,)","(79,)","(83,)","(44,)","(43,)","(44,)","(43,)","(37.595751680060154,)"
"(83,)","(0,)","(0,)","(86,)","(90,)","(80,)","(84,)","(41,)","(41,)","(41,)","(41,)","(37.595751680060154,)"
"(83,)","(0,)","(0,)","(88,)","(90,)","(81,)","(84,)","(37,)","(40,)","(39,)","(40,)","(37.595751680060154,)"
"(84,)","(0,)","(0,)","(85,)","(89,)","(79,)","(84,)","(41,)","(41,)","(41,)","(39,)","(37.595751680060154,)"
"(84,)","(0,)","(0,)","(85,)","(88,)","(80,)","(85,)","(40,)","(41,)","(40,)","(38,)","(37.595751680060154,)"
"(83,)","(0,)","(0,)","(86,)","(89,)","(81,)","(84,)","(38,)","(39,)","(38,)","(39,)","(37.595751680060154,)"
"(83,)","(0,)","(0,)","(84,)","(90,)","(79,)","(84,)","(40,)","(38,)","(40,)","(39,)","(37.595751680060154,)"
"(84,)","(0,)","(0,)","(84,)","(87,)","(79,)","(84,)","(40,)","(41,)","(40,)","(38,)","(37.595751680060154,)"
"(83,)","(0,)","(0,)","(86,)","(89,)","(81,)","(84,)","(37,)","(38,)","(37,)","(38,)","(37.595751680060154,)"
"(82,)","(0,)","(-1,)","(84,)","(88,)","(79,)","(82,)","(40,)","(39,)","(40,)","(40,)","(37.595751680060154,)"
"(82,)","(0,)","(0,)","(84,)","(87,)","(79,)","(83,)","(40,)","(41,)","(39,)","(39,)","(37.595751680060154,)"
"(83,)","(0,)","(1,)","(84,)","(86,)","(80,)","(83,)","(38,)","(41,)","(38,)","(38,)","(37.595751680060154,)"
"(80,)","(0,)","(0,)","(81,)","(86,)","(77,)","(81,)","(43,)","(40,)","(41,)","(41,)","(37.595751680060154,)"
"(81,)","(0,)","(0,)","(81,)","(86,)","(78,)","(81,)","(41,)","(40,)","(40,)","(40,)","(37.595751680060154,)"
"(79,)","(0,)","(0,)","(81,)","(84,)","(77,)","(80,)","(41,)","(43,)","(40,)","(41,)","(37.595751680060154,)"
"(79,)","(0,)","(0,)","(81,)","(84,)","(76,)","(80,)","(40,)","(41,)","(40,)","(41,)","(37.595751680060154,)"
"(78,)","(0,)","(0,)","(78,)","(83,)","(75,)","(79,)","(44,)","(41,)","(41,)","(41,)","(37.595751680060154,)"
"(78,)","(0,)","(0,)","(77,)","(82,)","(75,)","(79,)","(44,)","(43,)","(41,)","(40,)","(37.595751680060154,)"
"(77,)","(0,)","(0,)","(79,)","(81,)","(73,)","(78,)","(39,)","(43,)","(43,)","(41,)","(37.595751680060154,)"
"(76,)","(0,)","(0,)","(76,)","(80,)","(72,)","(76,)","(43,)","(43,)","(43,)","(43,)","(37.595751680060154,)"
"(75,)","(0,)","(-2,)","(76,)","(80,)","(73,)","(76,)","(43,)","(43,)","(41,)","(43,)","(37.595751680060154,)"
"(77,)","(0,)","(2,)","(75,)","(80,)","(73,)","(77,)","(43,)","(41,)","(40,)","(39,)","(37.595751680060154,)"
"(75,)","(0,)","(0,)","(77,)","(79,)","(71,)","(75,)","(39,)","(41,)","(41,)","(41,)","(37.595751680060154,)"
"(74,)","(0,)","(-1,)","(75,)","(79,)","(71,)","(75,)","(41,)","(41,)","(41,)","(41,)","(84.59044128013535,)"
"(103,)","(110,)","(25,)","(250,)","(250,)","(250,)","(250,)","(43,)","(41,)","(40,)","(40,)","(84.59044128013535,)"
"(106,)","(111,)","(0,)","(250,)","(250,)","(250,)","(250,)","(41,)","(40,)","(41,)","(39,)","(84.59044128013535,)"
"(110,)","(110,)","(0,)","(250,)","(250,)","(250,)","(250,)","(41,)","(41,)","(43,)","(40,)","(84.59044128013535,)"
"(115,)","(107,)","(0,)","(250,)","(250,)","(250,)","(250,)","(41,)","(41,)","(40,)","(41,)","(84.59044128013535,)"
