"(0.0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(116.38462791834455,)"
"(0.0,)","(0,)","(0,)","(0,)","(0,)","(144,)","(145,)","(92,)","(95,)","(0,)","(0,)","(0,)","(0,)","(116.38462791834455,)"
"(0.0,)","(-5,)","(4,)","(8,)","(-8,)","(144,)","(145,)","(92,)","(95,)","(0,)","(0,)","(0,)","(0,)","(116.38462791834455,)"
"(0.01,)","(-11,)","(10,)","(18,)","(-18,)","(144,)","(145,)","(92,)","(95,)","(25,)","(24,)","(0,)","(0,)","(116.38462791834455,)"
"(0.01,)","(-9,)","(8,)","(14,)","(-15,)","(144,)","(145,)","(93,)","(94,)","(0,)","(0,)","(0,)","(4,)","(116.38462791834455,)"
"(0.02,)","(-9,)","(9,)","(16,)","(-15,)","(144,)","(145,)","(93,)","(94,)","(4,)","(0,)","(2,)","(0,)","(116.38462791834455,)"
"(0.03,)","(-9,)","(9,)","(16,)","(-15,)","(143,)","(145,)","(93,)","(94,)","(15,)","(15,)","(8,)","(7,)","(116.38462791834455,)"
"(0.05,)","(-9,)","(9,)","(16,)","(-15,)","(143,)","(146,)","(93,)","(94,)","(27,)","(29,)","(16,)","(16,)","(116.38462791834455,)"
"(0.08,)","(-9,)","(9,)","(16,)","(-15,)","(143,)","(146,)","(93,)","(93,)","(38,)","(43,)","(26,)","(45,)","(116.38462791834455,)"
"(0.13,)","(-9,)","(10,)","(17,)","(-14,)","(142,)","(146,)","(94,)","(93,)","(49,)","(50,)","(34,)","(68,)","(116.38462791834455,)"
"(0.17,)","(-8,)","(11,)","(18,)","(-11,)","(142,)","(147,)","(95,)","(92,)","(66,)","(63,)","(41,)","(72,)","(116.38462791834455,)"
"(0.24,)","(-5,)","(14,)","(21,)","(-9,)","(141,)","(147,)","(96,)","(91,)","(76,)","(74,)","(51,)","(78,)","(116.38462791834455,)"
"(0.28,)","(-5,)","(14,)","(22,)","(-8,)","(141,)","(147,)","(96,)","(91,)","(80,)","(83,)","(57,)","(83,)","(116.38462791834455,)"
"(0.35,)","(-3,)","(16,)","(26,)","(-4,)","(140,)","(148,)","(98,)","(89,)","(91,)","(93,)","(63,)","(76,)","(116.38462791834455,)"
"(0.42,)","(-1,)","(17,)","(27,)","(-2,)","(138,)","(149,)","(101,)","(89,)","(106,)","(111,)","(76,)","(66,)","(116.38462791834455,)"
"(0.51,)","(0,)","(20,)","(31,)","(0,)","(136,)","(150,)","(102,)","(86,)","(117,)","(121,)","(88,)","(76,)","(116.38462791834455,)"
"(0.61,)","(2,)","(23,)","(34,)","(4,)","(135,)","(151,)","(105,)","(84,)","(125,)","(133,)","(93,)","(76,)","(116.38462791834455,)"
"(0.71,)","(5,)","(24,)","(38,)","(9,)","(132,)","(151,)","(107,)","(83,)","(129,)","(144,)","(102,)","(83,)","(116.38462791834455,)"
"(0.81,)","(9,)","(28,)","(42,)","(14,)","(130,)","(152,)","(110,)","(82,)","(129,)","(148,)","(111,)","(83,)","(116.38462791834455,)"
"(0.91,)","(11,)","(31,)","(46,)","(20,)","(128,)","(152,)","(112,)","(81,)","(133,)","(156,)","(111,)","(86,)","(116.38462791834455,)"
"(1.02,)","(15,)","(34,)","(50,)","(25,)","(126,)","(153,)","(115,)","(80,)","(133,)","(156,)","(117,)","(83,)","(116.38462791834455,)"
"(1.13,)","(19,)","(37,)","(54,)","(31,)","(123,)","(153,)","(118,)","(79,)","(133,)","(156,)","(121,)","(80,)","(116.38462791834455,)"
"(1.24,)","(23,)","(41,)","(58,)","(37,)","(120,)","(153,)","(121,)","(79,)","(126,)","(152,)","(121,)","(80,)","(116.38462791834455,)"
