"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(39,)","(39,)","(0,)","(0,)","(46.553851167337825,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(39,)","(39,)","(0,)","(0,)","(46.553851167337825,)"
"(0,)","(183,)","(0,)","(0,)","(0,)","(0,)","(0,)","(80,)","(250,)","(250,)","(250,)","(39,)","(19,)","(0,)","(0,)","(46.553851167337825,)"
"(0,)","(183,)","(0,)","(0,)","(0,)","(0,)","(0,)","(250,)","(250,)","(250,)","(250,)","(0,)","(0,)","(0,)","(0,)","(46.553851167337825,)"
"(0,)","(186,)","(0,)","(0,)","(0,)","(0,)","(0,)","(250,)","(250,)","(250,)","(250,)","(0,)","(0,)","(0,)","(0,)","(46.553851167337825,)"
"(0,)","(186,)","(0,)","(0,)","(0,)","(0,)","(0,)","(250,)","(250,)","(250,)","(250,)","(5,)","(5,)","(0,)","(0,)","(46.553851167337825,)"
"(0,)","(186,)","(0,)","(0,)","(0,)","(0,)","(0,)","(250,)","(250,)","(250,)","(250,)","(25,)","(24,)","(5,)","(0,)","(46.553851167337825,)"
"(0,)","(186,)","(0,)","(0,)","(0,)","(0,)","(0,)","(250,)","(250,)","(250,)","(250,)","(0,)","(24,)","(0,)","(0,)","(46.553851167337825,)"
"(0,)","(186,)","(0,)","(0,)","(0,)","(0,)","(0,)","(250,)","(250,)","(250,)","(250,)","(0,)","(0,)","(0,)","(0,)","(46.553851167337825,)"
"(0,)","(186,)","(0,)","(0,)","(0,)","(0,)","(0,)","(250,)","(250,)","(250,)","(250,)","(0,)","(0,)","(0,)","(0,)","(46.553851167337825,)"
"(0,)","(176,)","(0,)","(0,)","(0,)","(0,)","(0,)","(250,)","(250,)","(250,)","(250,)","(0,)","(0,)","(0,)","(2,)","(46.553851167337825,)"
"(0,)","(186,)","(3,)","(0,)","(0,)","(0,)","(0,)","(250,)","(250,)","(250,)","(250,)","(3,)","(4,)","(3,)","(0,)","(46.553851167337825,)"
"(0,)","(146,)","(0,)","(0,)","(0,)","(0,)","(0,)","(250,)","(250,)","(250,)","(250,)","(13,)","(12,)","(13,)","(9,)","(46.553851167337825,)"
"(0,)","(111,)","(0,)","(0,)","(0,)","(0,)","(0,)","(250,)","(250,)","(250,)","(250,)","(19,)","(19,)","(20,)","(18,)","(46.553851167337825,)"
"(0,)","(65,)","(-7,)","(0,)","(0,)","(0,)","(0,)","(250,)","(250,)","(250,)","(250,)","(27,)","(25,)","(27,)","(30,)","(46.553851167337825,)"
"(6,)","(29,)","(-7,)","(0,)","(0,)","(0,)","(0,)","(250,)","(250,)","(250,)","(67,)","(33,)","(34,)","(35,)","(39,)","(46.553851167337825,)"
"(11,)","(14,)","(-2,)","(0,)","(0,)","(0,)","(0,)","(61,)","(66,)","(74,)","(66,)","(43,)","(41,)","(40,)","(43,)","(46.553851167337825,)"
"(8,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(51,)","(54,)","(54,)","(56,)","(49,)","(47,)","(47,)","(49,)","(46.553851167337825,)"
"(6,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(56,)","(56,)","(54,)","(55,)","(51,)","(51,)","(49,)","(49,)","(46.553851167337825,)"
"(4,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(53,)","(54,)","(55,)","(55,)","(49,)","(51,)","(51,)","(51,)","(46.553851167337825,)"
"(3,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(52,)","(51,)","(52,)","(54,)","(45,)","(49,)","(49,)","(51,)","(46.553851167337825,)"
"(2,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(51,)","(51,)","(51,)","(49,)","(49,)","(45,)","(45,)","(47,)","(46.553851167337825,)"
"(4,)","(8,)","(2,)","(0,)","(0,)","(0,)","(0,)","(49,)","(57,)","(74,)","(59,)","(45,)","(44,)","(41,)","(44,)","(46.553851167337825,)"
"(11,)","(29,)","(5,)","(0,)","(0,)","(0,)","(0,)","(69,)","(79,)","(68,)","(86,)","(41,)","(40,)","(43,)","(39,)","(46.553851167337825,)"
