"(3,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(39,)","(39,)","(0,)","(0,)","(37.595751680060154,)"
"(3,)","(0,)","(0,)","(21,)","(0,)","(0,)","(0,)","(39,)","(19,)","(0,)","(0,)","(37.595751680060154,)"
"(28,)","(92,)","(0,)","(250,)","(250,)","(250,)","(250,)","(0,)","(19,)","(0,)","(0,)","(37.595751680060154,)"
"(33,)","(92,)","(0,)","(250,)","(250,)","(250,)","(250,)","(9,)","(12,)","(14,)","(0,)","(37.595751680060154,)"
"(38,)","(93,)","(0,)","(250,)","(250,)","(250,)","(250,)","(9,)","(12,)","(14,)","(0,)","(37.595751680060154,)"
"(43,)","(93,)","(0,)","(250,)","(250,)","(250,)","(250,)","(0,)","(0,)","(0,)","(0,)","(37.595751680060154,)"
"(48,)","(93,)","(0,)","(250,)","(250,)","(250,)","(250,)","(0,)","(6,)","(0,)","(0,)","(37.595751680060154,)"
"(53,)","(93,)","(0,)","(250,)","(250,)","(250,)","(250,)","(0,)","(6,)","(0,)","(0,)","(37.595751680060154,)"
"(56,)","(85,)","(0,)","(250,)","(250,)","(250,)","(250,)","(4,)","(0,)","(0,)","(3,)","(37.595751680060154,)"
"(63,)","(93,)","(1,)","(250,)","(250,)","(250,)","(250,)","(0,)","(6,)","(3,)","(0,)","(37.595751680060154,)"
"(63,)","(68,)","(0,)","(250,)","(250,)","(250,)","(250,)","(9,)","(6,)","(12,)","(10,)","(37.595751680060154,)"
"(63,)","(47,)","(0,)","(250,)","(250,)","(250,)","(250,)","(17,)","(21,)","(18,)","(18,)","(37.595751680060154,)"
"(62,)","(21,)","(-3,)","(79,)","(80,)","(64,)","(63,)","(27,)","(25,)","(25,)","(28,)","(37.595751680060154,)"
"(61,)","(2,)","(0,)","(80,)","(78,)","(64,)","(61,)","(32,)","(33,)","(32,)","(34,)","(37.595751680060154,)"
"(60,)","(0,)","(-3,)","(79,)","(75,)","(63,)","(61,)","(37,)","(40,)","(35,)","(38,)","(37.595751680060154,)"
"(59,)","(0,)","(0,)","(78,)","(74,)","(59,)","(60,)","(38,)","(41,)","(41,)","(39,)","(37.595751680060154,)"
