"(0,)","(366,)","(366,)","(0,)","(0,)","(0,)","(0,)","(0,)","(4436,)","(7759,)","(7982,)","(3862,)"
"(0,)","(366,)","(366,)","(0,)","(0,)","(0,)","(0,)","(0,)","(4436,)","(7785,)","(8008,)","(3862,)"
"(0,)","(352,)","(352,)","(0,)","(0,)","(0,)","(0,)","(0,)","(4436,)","(7811,)","(8034,)","(3862,)"
"(0,)","(366,)","(366,)","(0,)","(0,)","(0,)","(0,)","(0,)","(4436,)","(7837,)","(8060,)","(3862,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(4436,)","(7837,)","(8060,)","(3862,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(4436,)","(7837,)","(8060,)","(3862,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(4436,)","(7837,)","(8060,)","(3862,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(4436,)","(7837,)","(8060,)","(3862,)"
"(0,)","(0,)","(5,)","(0,)","(0,)","(0,)","(0,)","(0,)","(4436,)","(7837,)","(8061,)","(3863,)"
"(235,)","(666,)","(380,)","(50,)","(19,)","(19,)","(19,)","(19,)","(4445,)","(7848,)","(8063,)","(3864,)"
"(19,)","(0,)","(88,)","(0,)","(14,)","(14,)","(15,)","(15,)","(4446,)","(7849,)","(8066,)","(3864,)"
"(470,)","(0,)","(15,)","(0,)","(14,)","(14,)","(13,)","(14,)","(4474,)","(7849,)","(8067,)","(3864,)"
"(500,)","(12,)","(0,)","(9,)","(15,)","(15,)","(15,)","(15,)","(4482,)","(7850,)","(8067,)","(3865,)"
"(19,)","(16,)","(15,)","(17,)","(14,)","(13,)","(13,)","(13,)","(4483,)","(7851,)","(8068,)","(3866,)"
"(246,)","(28,)","(27,)","(31,)","(14,)","(13,)","(13,)","(13,)","(4493,)","(7852,)","(8069,)","(3867,)"
"(666,)","(41,)","(38,)","(39,)","(14,)","(13,)","(13,)","(13,)","(4495,)","(7853,)","(8070,)","(3868,)"
"(89,)","(51,)","(52,)","(54,)","(14,)","(13,)","(13,)","(13,)","(4501,)","(7855,)","(8072,)","(3870,)"
"(63,)","(62,)","(47,)","(62,)","(14,)","(13,)","(13,)","(13,)","(4505,)","(7857,)","(8075,)","(3872,)"
"(53,)","(74,)","(72,)","(72,)","(14,)","(13,)","(13,)","(13,)","(4509,)","(7860,)","(8077,)","(3875,)"
"(59,)","(80,)","(76,)","(76,)","(14,)","(13,)","(13,)","(13,)","(4512,)","(7863,)","(8080,)","(3878,)"
"(62,)","(64,)","(63,)","(80,)","(14,)","(13,)","(13,)","(13,)","(4515,)","(7868,)","(8084,)","(3881,)"
"(86,)","(68,)","(66,)","(66,)","(14,)","(13,)","(13,)","(13,)","(4518,)","(7871,)","(8087,)","(3885,)"
"(70,)","(71,)","(70,)","(68,)","(14,)","(13,)","(13,)","(13,)","(4522,)","(7875,)","(8091,)","(3888,)"
"(76,)","(75,)","(72,)","(72,)","(14,)","(13,)","(13,)","(13,)","(4526,)","(7879,)","(8094,)","(3892,)"
"(75,)","(76,)","(74,)","(74,)","(14,)","(13,)","(13,)","(13,)","(4530,)","(7882,)","(8098,)","(3896,)"
"(102,)","(161,)","(74,)","(121,)","(-5,)","(-6,)","(-5,)","(-5,)","(4541,)","(7892,)","(8108,)","(3905,)"
"(158,)","(135,)","(150,)","(135,)","(-33,)","(-38,)","(-37,)","(-37,)","(4550,)","(7903,)","(8121,)","(3917,)"
"(307,)","(90,)","(113,)","(88,)","(-66,)","(-76,)","(-74,)","(-75,)","(4561,)","(7907,)","(8127,)","(3922,)"
"(145,)","(131,)","(117,)","(84,)","(-99,)","(-114,)","(-113,)","(-113,)","(4568,)","(7916,)","(8132,)","(3927,)"
"(275,)","(169,)","(111,)","(66,)","(-133,)","(-143,)","(-143,)","(-143,)","(4576,)","(7925,)","(8140,)","(3931,)"
"(275,)","(153,)","(91,)","(71,)","(-137,)","(-131,)","(-132,)","(-131,)","(4585,)","(7933,)","(8147,)","(3939,)"
"(135,)","(74,)","(66,)","(62,)","(-132,)","(-133,)","(-132,)","(-132,)","(4592,)","(7937,)","(8151,)","(3942,)"
"(95,)","(75,)","(71,)","(67,)","(-134,)","(-134,)","(-135,)","(-135,)","(4599,)","(7941,)","(8154,)","(3945,)"
"(124,)","(128,)","(136,)","(71,)","(-112,)","(-111,)","(-112,)","(-112,)","(4608,)","(7954,)","(8163,)","(3953,)"
"(83,)","(102,)","(91,)","(81,)","(-80,)","(-75,)","(-77,)","(-75,)","(4616,)","(7962,)","(8166,)","(3957,)"
"(163,)","(99,)","(83,)","(96,)","(-47,)","(-38,)","(-41,)","(-38,)","(4627,)","(7970,)","(8171,)","(3962,)"
"(183,)","(155,)","(77,)","(125,)","(-14,)","(-1,)","(-6,)","(-1,)","(4637,)","(7978,)","(8175,)","(3968,)"
"(285,)","(88,)","(113,)","(80,)","(19,)","(35,)","(29,)","(35,)","(4645,)","(7981,)","(8180,)","(3972,)"
"(301,)","(86,)","(64,)","(111,)","(52,)","(72,)","(65,)","(72,)","(4654,)","(7985,)","(8183,)","(3977,)"
"(280,)","(83,)","(86,)","(86,)","(85,)","(99,)","(97,)","(98,)","(4665,)","(7988,)","(8187,)","(3982,)"
"(70,)","(60,)","(177,)","(228,)","(95,)","(94,)","(98,)","(94,)","(4666,)","(7990,)","(8194,)","(3987,)"
"(74,)","(65,)","(88,)","(70,)","(89,)","(86,)","(85,)","(86,)","(4674,)","(7996,)","(8197,)","(3991,)"
"(96,)","(70,)","(74,)","(95,)","(89,)","(91,)","(90,)","(91,)","(4679,)","(7999,)","(8201,)","(3994,)"
"(78,)","(80,)","(76,)","(74,)","(90,)","(89,)","(90,)","(89,)","(4683,)","(8003,)","(8205,)","(3998,)"
