"('rawRPM0',)","('rawRPM1',)","('rawRPM2',)","('rawRPM3',)","('rawAngle0',)","('rawAngle1',)","('rawAngle2',)","('rawAngle3',)","('desiredRPM0',)","('desireRPM1',)","('desiredRPM2',)","('desiredRPM3',)","('desiredAngle0',)","('desiredAngle1',)","('desiredAngle2',)","('desiredAngle3',)","('deltaAngle0',)","('deltaAngle1',)","('deltaAngle2',)","('deltaAngle3',)","('deltaRPM0',)","('deltaRPM1',)","('deltaRPM2',)","('deltaRPM3',)","('HighDeltaFilterRPM0',)","('HighDeltaFilterRPM1',)","('HighDeltaFilterRPM2',)","('HighDeltaFilterRPM3',)","('boxFilterRPM0',)","('boxFilterRPM1',)","('boxFilterRPM2',)","('boxFilterRPM3',)","('TeensyTimeMicroSeconds',)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(57375,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(57426,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(57477,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(57579,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(57630,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(57681,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(57732,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.08,)","(0.06,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(57783,)"
"(0,)","(0,)","(25,)","(26,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(25.56,)","(26.08,)","(0,)","(0,)","('null',)","('null',)","(0,)","(0,)","(0,)","(0,)","(57834,)"
"(0,)","(0,)","(25,)","(26,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","('null',)","('null',)","(0,)","(0,)","(0,)","(0,)","(57885,)"
