"('rawRPM0',)","('rawRPM1',)","('rawRPM2',)","('rawRPM3',)","('rawAngle0',)","('rawAngle1',)","('rawAngle2',)","('rawAngle3',)","('desiredRPM0',)","('desireRPM1',)","('desiredRPM2',)","('desiredRPM3',)","('desiredAngle0',)","('desiredAngle1',)","('desiredAngle2',)","('desiredAngle3',)","('deltaAngle0',)","('deltaAngle1',)","('deltaAngle2',)","('deltaAngle3',)","('deltaRPM0',)","('deltaRPM1',)","('deltaRPM2',)","('deltaRPM3',)","('HighDeltaFilterRPM0',)","('HighDeltaFilterRPM1',)","('HighDeltaFilterRPM2',)","('HighDeltaFilterRPM3',)","('boxFilterRPM0',)","('boxFilterRPM1',)","('boxFilterRPM2',)","('boxFilterRPM3',)","('TeensyTimeMicroSeconds',)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(994917,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(994968,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(995019,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(995121,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(-0.05,)","(-0.06,)","(-0.07,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(995172,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(995223,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(995274,)"
"(0,)","(0,)","(0,)","(5,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(5.51,)","(0,)","(0,)","(0,)","(5,)","(0,)","(0,)","(0,)","(0,)","(995325,)"
"(0,)","(0,)","(4,)","(5,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.05,)","(0.0,)","(4.46,)","(0.0,)","(0,)","(0,)","(4,)","(5,)","(0,)","(0,)","(0,)","(1,)","(995376,)"
"(16,)","(4,)","(4,)","(0,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(16.41,)","(4.15,)","(0.0,)","(-5.51,)","(16,)","(4,)","(4,)","(0,)","(2,)","(0,)","(1,)","(1,)","(995427,)"
"(16,)","(0,)","(0,)","(7,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(-4.15,)","(-4.46,)","(7.29,)","(16,)","(0,)","(0,)","(7,)","(5,)","(0,)","(1,)","(2,)","(995478,)"
"(16,)","(22,)","(9,)","(7,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(22.6,)","(9.32,)","(0.0,)","(16,)","('null',)","(9,)","(7,)","(8,)","(0,)","(2,)","(4,)","(995529,)"
"(17,)","(35,)","(17,)","(15,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.63,)","(12.49,)","(7.77,)","(8.4,)","(17,)","('null',)","(17,)","(15,)","(10,)","(1,)","(5,)","(6,)","(995580,)"
"(21,)","(25,)","(21,)","(21,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(4.76,)","(-9.93,)","(4.41,)","(6.17,)","(21,)","('null',)","(21,)","(21,)","(14,)","(1,)","(9,)","(9,)","(995631,)"
"(53,)","(29,)","(28,)","(26,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(31.48,)","(4.47,)","(6.86,)","(4.81,)","('null',)","('null',)","(28,)","(26,)","(17,)","(2,)","(13,)","(12,)","(995682,)"
"(32,)","(31,)","(32,)","(31,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(-20.81,)","(2.12,)","(4.15,)","(5.08,)","(32,)","('null',)","(32,)","(31,)","(20,)","(0,)","(17,)","(17,)","(995733,)"
"(50,)","(38,)","(37,)","(36,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(17.79,)","(6.9,)","(4.52,)","(4.78,)","(50,)","('null',)","(37,)","(36,)","(27,)","('null',)","(24,)","(22,)","(995784,)"
"(43,)","(41,)","(41,)","(43,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(-6.6,)","(3.02,)","(4.63,)","(7.19,)","(43,)","(41,)","(41,)","(43,)","(32,)","(41,)","(29,)","(28,)","(995835,)"
"(59,)","(47,)","(45,)","(45,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(15.54,)","(5.95,)","(4.31,)","(2.26,)","(59,)","(47,)","(45,)","(45,)","(41,)","(44,)","(34,)","(33,)","(995886,)"
"(60,)","(51,)","(50,)","(50,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(1.35,)","(3.66,)","(4.34,)","(4.34,)","(60,)","(51,)","(50,)","(50,)","(48,)","(46,)","(38,)","(38,)","(995937,)"
"(56,)","(54,)","(53,)","(53,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(-3.87,)","(3.14,)","(3.02,)","(3.02,)","(56,)","(54,)","(53,)","(53,)","(50,)","(48,)","(43,)","(43,)","(995988,)"
"(62,)","(62,)","(57,)","(57,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(5.28,)","(8.08,)","(4.64,)","(4.64,)","(62,)","(62,)","(57,)","(57,)","(55,)","(51,)","(47,)","(47,)","(996039,)"
