"(0.0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(93.10770233467565,)"
"(0.01,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(5,)","(0,)","(0,)","(93.10770233467565,)"
"(0.01,)","(0,)","(0,)","(0,)","(0,)","(106,)","(107,)","(80,)","(81,)","(0,)","(0,)","(0,)","(0,)","(93.10770233467565,)"
"(0.02,)","(-5,)","(4,)","(7,)","(-7,)","(106,)","(107,)","(80,)","(81,)","(25,)","(9,)","(0,)","(10,)","(93.10770233467565,)"
"(0.02,)","(-7,)","(6,)","(9,)","(-9,)","(106,)","(107,)","(80,)","(81,)","(0,)","(0,)","(0,)","(0,)","(93.10770233467565,)"
"(0.03,)","(-5,)","(6,)","(8,)","(-9,)","(106,)","(107,)","(80,)","(81,)","(0,)","(0,)","(1,)","(0,)","(93.10770233467565,)"
"(0.04,)","(-5,)","(6,)","(8,)","(-9,)","(106,)","(107,)","(80,)","(81,)","(4,)","(4,)","(0,)","(4,)","(93.10770233467565,)"
"(0.05,)","(-5,)","(6,)","(8,)","(-8,)","(106,)","(107,)","(80,)","(81,)","(15,)","(19,)","(8,)","(12,)","(93.10770233467565,)"
"(0.07,)","(-5,)","(6,)","(8,)","(-8,)","(106,)","(107,)","(80,)","(81,)","(29,)","(31,)","(22,)","(24,)","(93.10770233467565,)"
"(0.1,)","(-5,)","(6,)","(10,)","(-8,)","(106,)","(107,)","(80,)","(81,)","(43,)","(43,)","(36,)","(33,)","(93.10770233467565,)"
"(0.15,)","(-5,)","(6,)","(10,)","(-7,)","(106,)","(107,)","(81,)","(81,)","(55,)","(57,)","(44,)","(46,)","(93.10770233467565,)"
"(0.2,)","(-5,)","(7,)","(10,)","(-7,)","(105,)","(107,)","(81,)","(80,)","(66,)","(65,)","(53,)","(76,)","(93.10770233467565,)"
"(0.27,)","(-4,)","(8,)","(11,)","(-6,)","(105,)","(108,)","(81,)","(80,)","(78,)","(76,)","(57,)","(78,)","(93.10770233467565,)"
"(0.33,)","(-3,)","(9,)","(12,)","(-5,)","(105,)","(108,)","(81,)","(80,)","(88,)","(86,)","(68,)","(80,)","(93.10770233467565,)"
"(0.41,)","(-2,)","(10,)","(15,)","(-2,)","(105,)","(108,)","(82,)","(79,)","(95,)","(91,)","(76,)","(76,)","(93.10770233467565,)"
"(0.48,)","(-1,)","(11,)","(15,)","(-2,)","(104,)","(108,)","(82,)","(79,)","(100,)","(102,)","(80,)","(74,)","(93.10770233467565,)"
"(0.57,)","(0,)","(12,)","(18,)","(0,)","(104,)","(109,)","(83,)","(79,)","(105,)","(111,)","(86,)","(81,)","(93.10770233467565,)"
"(0.65,)","(0,)","(13,)","(18,)","(0,)","(104,)","(109,)","(83,)","(78,)","(106,)","(111,)","(86,)","(80,)","(93.10770233467565,)"
"(0.71,)","(1,)","(15,)","(20,)","(2,)","(104,)","(109,)","(83,)","(78,)","(108,)","(111,)","(86,)","(83,)","(93.10770233467565,)"
"(0.8,)","(3,)","(16,)","(22,)","(4,)","(103,)","(109,)","(84,)","(78,)","(108,)","(108,)","(88,)","(78,)","(93.10770233467565,)"
"(0.88,)","(4,)","(17,)","(23,)","(5,)","(102,)","(109,)","(85,)","(77,)","(108,)","(111,)","(88,)","(80,)","(93.10770233467565,)"
"(0.96,)","(5,)","(20,)","(26,)","(8,)","(102,)","(110,)","(85,)","(77,)","(102,)","(111,)","(86,)","(78,)","(93.10770233467565,)"
"(1.05,)","(7,)","(20,)","(28,)","(10,)","(102,)","(110,)","(86,)","(77,)","(106,)","(111,)","(86,)","(78,)","(93.10770233467565,)"
"(1.13,)","(8,)","(23,)","(30,)","(11,)","(101,)","(110,)","(86,)","(76,)","(102,)","(111,)","(88,)","(74,)","(93.10770233467565,)"
"(1.21,)","(11,)","(23,)","(32,)","(14,)","(101,)","(110,)","(87,)","(76,)","(102,)","(108,)","(88,)","(76,)","(93.10770233467565,)"
"(1.3,)","(11,)","(24,)","(32,)","(15,)","(100,)","(110,)","(87,)","(76,)","(100,)","(111,)","(86,)","(76,)","(93.10770233467565,)"
"(1.38,)","(13,)","(27,)","(35,)","(18,)","(100,)","(110,)","(88,)","(76,)","(100,)","(111,)","(88,)","(76,)","(93.10770233467565,)"
"(1.46,)","(14,)","(27,)","(37,)","(19,)","(99,)","(111,)","(88,)","(75,)","(102,)","(111,)","(86,)","(74,)","(93.10770233467565,)"
"(1.55,)","(16,)","(30,)","(37,)","(22,)","(99,)","(111,)","(89,)","(75,)","(100,)","(108,)","(88,)","(74,)","(93.10770233467565,)"
"(1.63,)","(17,)","(30,)","(40,)","(23,)","(98,)","(111,)","(89,)","(75,)","(98,)","(108,)","(88,)","(74,)","(93.10770233467565,)"
"(1.71,)","(19,)","(31,)","(42,)","(27,)","(98,)","(111,)","(90,)","(75,)","(97,)","(108,)","(86,)","(76,)","(93.10770233467565,)"
"(1.78,)","(20,)","(34,)","(44,)","(28,)","(97,)","(111,)","(90,)","(75,)","(98,)","(111,)","(86,)","(74,)","(93.10770233467565,)"
"(1.87,)","(22,)","(34,)","(44,)","(31,)","(97,)","(111,)","(91,)","(75,)","(95,)","(105,)","(91,)","(72,)","(93.10770233467565,)"
"(1.95,)","(23,)","(35,)","(47,)","(31,)","(96,)","(111,)","(91,)","(74,)","(95,)","(108,)","(88,)","(72,)","(93.10770233467565,)"
"(2.03,)","(25,)","(38,)","(47,)","(35,)","(96,)","(111,)","(92,)","(74,)","(95,)","(111,)","(90,)","(70,)","(93.10770233467565,)"
"(2.08,)","(26,)","(38,)","(49,)","(36,)","(96,)","(111,)","(92,)","(74,)","(95,)","(108,)","(91,)","(72,)","(93.10770233467565,)"
"(2.16,)","(28,)","(39,)","(51,)","(38,)","(95,)","(111,)","(92,)","(74,)","(95,)","(108,)","(88,)","(66,)","(93.10770233467565,)"
"(2.24,)","(29,)","(40,)","(52,)","(39,)","(94,)","(111,)","(93,)","(74,)","(91,)","(108,)","(91,)","(72,)","(93.10770233467565,)"
"(2.32,)","(30,)","(43,)","(53,)","(41,)","(94,)","(111,)","(94,)","(74,)","(91,)","(111,)","(95,)","(72,)","(93.10770233467565,)"
"(2.4,)","(32,)","(43,)","(56,)","(44,)","(93,)","(111,)","(94,)","(74,)","(91,)","(108,)","(91,)","(74,)","(93.10770233467565,)"
"(2.48,)","(34,)","(44,)","(56,)","(45,)","(93,)","(111,)","(95,)","(74,)","(91,)","(108,)","(91,)","(70,)","(93.10770233467565,)"
"(2.56,)","(35,)","(47,)","(59,)","(48,)","(92,)","(111,)","(95,)","(74,)","(95,)","(108,)","(95,)","(68,)","(93.10770233467565,)"
"(2.64,)","(37,)","(47,)","(59,)","(50,)","(92,)","(111,)","(96,)","(74,)","(88,)","(106,)","(93,)","(70,)","(93.10770233467565,)"
"(2.72,)","(38,)","(48,)","(62,)","(52,)","(91,)","(111,)","(96,)","(74,)","(88,)","(108,)","(93,)","(72,)","(93.10770233467565,)"
"(2.8,)","(40,)","(51,)","(62,)","(54,)","(91,)","(111,)","(97,)","(74,)","(88,)","(108,)","(95,)","(72,)","(93.10770233467565,)"
"(2.88,)","(41,)","(51,)","(65,)","(56,)","(90,)","(111,)","(97,)","(74,)","(88,)","(108,)","(95,)","(72,)","(93.10770233467565,)"
"(2.96,)","(43,)","(52,)","(65,)","(58,)","(90,)","(111,)","(98,)","(74,)","(88,)","(106,)","(98,)","(70,)","(93.10770233467565,)"
"(3.04,)","(45,)","(55,)","(68,)","(60,)","(89,)","(111,)","(98,)","(75,)","(86,)","(108,)","(95,)","(72,)","(93.10770233467565,)"
"(3.12,)","(46,)","(55,)","(68,)","(61,)","(89,)","(110,)","(99,)","(75,)","(86,)","(108,)","(95,)","(70,)","(93.10770233467565,)"
"(3.2,)","(48,)","(56,)","(71,)","(63,)","(88,)","(110,)","(99,)","(75,)","(91,)","(108,)","(95,)","(72,)","(93.10770233467565,)"
"(3.28,)","(50,)","(59,)","(71,)","(66,)","(88,)","(110,)","(100,)","(75,)","(93,)","(105,)","(95,)","(66,)","(93.10770233467565,)"
