"(0.07,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(93.10770233467565,)"
"(0.07,)","(0,)","(0,)","(0,)","(0,)","(120,)","(123,)","(72,)","(71,)","(0,)","(5,)","(0,)","(0,)","(93.10770233467565,)"
"(0.08,)","(-7,)","(9,)","(10,)","(-10,)","(120,)","(123,)","(72,)","(71,)","(3,)","(17,)","(0,)","(0,)","(93.10770233467565,)"
"(0.08,)","(-11,)","(15,)","(29,)","(-20,)","(120,)","(123,)","(72,)","(71,)","(0,)","(0,)","(0,)","(0,)","(93.10770233467565,)"
"(0.09,)","(-9,)","(13,)","(22,)","(-16,)","(120,)","(123,)","(72,)","(71,)","(0,)","(5,)","(0,)","(5,)","(93.10770233467565,)"
"(0.1,)","(-9,)","(13,)","(24,)","(-16,)","(120,)","(123,)","(72,)","(70,)","(4,)","(0,)","(0,)","(22,)","(93.10770233467565,)"
"(0.11,)","(-9,)","(13,)","(24,)","(-16,)","(119,)","(124,)","(73,)","(70,)","(10,)","(8,)","(3,)","(36,)","(93.10770233467565,)"
"(0.14,)","(-9,)","(13,)","(24,)","(-16,)","(119,)","(124,)","(73,)","(70,)","(25,)","(23,)","(11,)","(45,)","(93.10770233467565,)"
"(0.17,)","(-9,)","(14,)","(26,)","(-16,)","(119,)","(124,)","(74,)","(69,)","(40,)","(38,)","(21,)","(55,)","(93.10770233467565,)"
"(0.21,)","(-8,)","(15,)","(26,)","(-13,)","(118,)","(124,)","(74,)","(69,)","(51,)","(51,)","(31,)","(59,)","(93.10770233467565,)"
"(0.26,)","(-7,)","(15,)","(29,)","(-13,)","(118,)","(125,)","(75,)","(68,)","(63,)","(66,)","(41,)","(60,)","(93.10770233467565,)"
"(0.31,)","(-6,)","(18,)","(29,)","(-10,)","(117,)","(125,)","(76,)","(67,)","(74,)","(76,)","(47,)","(63,)","(93.10770233467565,)"
"(0.38,)","(-5,)","(18,)","(33,)","(-7,)","(116,)","(126,)","(78,)","(66,)","(83,)","(88,)","(57,)","(66,)","(93.10770233467565,)"
"(0.43,)","(-3,)","(19,)","(34,)","(-6,)","(116,)","(126,)","(78,)","(66,)","(93,)","(97,)","(63,)","(63,)","(93.10770233467565,)"
"(0.5,)","(-1,)","(22,)","(37,)","(-2,)","(115,)","(127,)","(80,)","(64,)","(98,)","(108,)","(72,)","(63,)","(93.10770233467565,)"
"(0.58,)","(0,)","(23,)","(39,)","(0,)","(114,)","(127,)","(81,)","(63,)","(111,)","(121,)","(76,)","(60,)","(93.10770233467565,)"
"(0.67,)","(1,)","(25,)","(42,)","(3,)","(111,)","(128,)","(85,)","(61,)","(114,)","(125,)","(83,)","(65,)","(93.10770233467565,)"
"(0.76,)","(4,)","(28,)","(46,)","(10,)","(109,)","(129,)","(87,)","(59,)","(117,)","(133,)","(91,)","(62,)","(93.10770233467565,)"
"(0.84,)","(7,)","(31,)","(50,)","(14,)","(107,)","(129,)","(89,)","(58,)","(114,)","(133,)","(90,)","(60,)","(93.10770233467565,)"
"(0.93,)","(10,)","(33,)","(53,)","(19,)","(105,)","(129,)","(91,)","(57,)","(114,)","(133,)","(91,)","(57,)","(93.10770233467565,)"
"(1.02,)","(13,)","(36,)","(56,)","(25,)","(103,)","(130,)","(94,)","(56,)","(111,)","(133,)","(95,)","(63,)","(93.10770233467565,)"
